Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Heart failure	C0018801	CRP	1401	P02741	C-reactive protein		470	0.399	0.862	0.0037357	0.38	no reported evidence	0.875	9	0	2006.0	2013.0
Heart failure	C0018801	CTGF	1490	P29279	connective tissue growth factor	signaling molecule	299	0.443	0.759	0.0027502	0.37	no reported evidence	1.0	8	0	2010.0	2015.0
Heart failure	C0018801	ADRA2C	152	P18825	adrenoceptor alpha 2C	receptor	26	0.707	0.207	0.51513	0.36	no reported evidence	0.5	7	0	2002.0	2013.0
Heart failure	C0018801	PPP1R1A	5502	Q13522	protein phosphatase 1 regulatory inhibitor subunit 1A	enzyme modulator; signaling molecule	57	0.6	0.586	0.021352	0.36	no reported evidence	0.8333333	7	2	2004.0	2016.0
Heart failure	C0018801	NOS2	4843	P35228	nitric oxide synthase 2		531	0.385	0.931	1.4648e-14	0.35	no reported evidence	0.8	6	0	1996.0	2014.0
Heart failure	C0018801	EDNRA	1909	P25101	endothelin receptor type A		259	0.469	0.828	0.99154	0.34	no reported evidence	1.0	5	0	1999.0	2017.0
Heart failure	C0018801	IL1B	3553	P01584	interleukin 1 beta		1035	0.312	0.931	0.12568	0.34	no reported evidence	1.0	5	0	2004.0	2014.0
Heart failure	C0018801	AVP	551	P01185	arginine vasopressin	signaling molecule	238	0.486	0.759	0.075195	0.34	no reported evidence	1.0	5	0	2000.0	2018.0
Heart failure	C0018801	SIRT1	23411	Q96EB6	sirtuin 1	hydrolase; nucleic acid binding	325	0.432	0.828	0.081958	0.34	no reported evidence	1.0	5	0	2010.0	2016.0
Heart failure	C0018801	NRG1	3084	Q02297	neuregulin 1	signaling molecule	173	0.506	0.759	0.99553	0.34	no reported evidence	0.75	4	0	2005.0	2013.0
Heart failure	C0018801	PPARG	5468	P37231	peroxisome proliferator activated receptor gamma	nucleic acid binding; receptor; transcription factor	540	0.388	0.828	0.1447	0.34	no reported evidence	1.0	5	0	2003.0	2017.0
Heart failure	C0018801	EDNRB	1910	P24530	endothelin receptor type B		223	0.492	0.793	0.012005	0.33	no reported evidence	1.0	4	0	2000.0	2017.0
Heart failure	C0018801	PIK3CG	5294	P48736	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	kinase; transferase	490	0.385	0.862	1.4942e-06	0.33	no reported evidence	1.0	4	0	2003.0	2012.0
Heart failure	C0018801	GDF15	9518	Q99988	growth differentiation factor 15	signaling molecule	174	0.496	0.621	2.851e-07	0.33	no reported evidence	1.0	4	0	2010.0	2017.0
Heart failure	C0018801	MYH7	4625	P12883	myosin heavy chain 7		146	0.564	0.483	3.748e-16	0.33	no reported evidence	1.0	4	1	2007.0	2014.0
Heart failure	C0018801	NPR1	4881	P16066	natriuretic peptide receptor 1	lyase	42	0.672	0.414	0.00093819	0.32	no reported evidence	1.0	3	0	2006.0	2015.0
Heart failure	C0018801	XDH	7498	P47989	xanthine dehydrogenase	oxidoreductase	101	0.567	0.655	5.0422e-22	0.32	no reported evidence	1.0	3	0	2004.0	2016.0
Heart failure	C0018801	GHRL	51738	Q9UBU3	ghrelin and obestatin prepropeptide		157	0.511	0.655	1.2062e-11	0.32	no reported evidence	1.0	3	0	2004.0	2011.0
Heart failure	C0018801	SLC9A1	6548	P19634	solute carrier family 9 member A1		89	0.6	0.448	0.7925	0.32	no reported evidence	1.0	3	0	2002.0	2009.0
Heart failure	C0018801	EPHX2	2053	P34913	epoxide hydrolase 2	hydrolase; protease	47	0.633	0.448	1.3959e-21	0.32	no reported evidence	1.0	2	0	2008.0	2015.0
Heart failure	C0018801	TNFRSF1A	7132	P19438	TNF receptor superfamily member 1A		307	0.443	0.862	0.99585	0.32	no reported evidence	1.0	3	0	2006.0	2015.0
Heart failure	C0018801	MYH6	4624	P13533	myosin heavy chain 6		61	0.621	0.552	3.2416e-31	0.32	no reported evidence	1.0	3	0	1997.0	2015.0
Heart failure	C0018801	SOD3	6649	P08294	superoxide dismutase 3	oxidoreductase	72	0.58	0.655	0.0007585	0.31	no reported evidence	1.0	2	0	2010.0	2016.0
Heart failure	C0018801	SERPINE1	5054	P05121	serpin family E member 1	enzyme modulator	506	0.384	0.793	0.047491	0.31	no reported evidence	1.0	2	0	2012.0	2014.0
Heart failure	C0018801	CAT	847	P04040	catalase	oxidoreductase	446	0.397	0.828	1.8782e-10	0.31	no reported evidence	1.0	2	0	2000.0	2006.0
Heart failure	C0018801	NFE2L2	4780	Q16236	nuclear factor, erythroid 2 like 2	cytoskeletal protein; hydrolase; nucleic acid binding; transcription factor	376	0.42	0.862	0.0035489	0.31	no reported evidence	1.0	2	0	2015.0	2017.0
Heart failure	C0018801	UCN2	90226	Q96RP3	urocortin 2		20	0.696	0.379	0.038845	0.31	no reported evidence	1.0	2	0	2006.0	2016.0
Heart failure	C0018801	RETN	56729	Q9HD89	resistin		115	0.542	0.759	0.039671	0.31	no reported evidence	1.0	2	0	2014.0	2016.0
Heart failure	C0018801	PEBP1	5037	P30086	phosphatidylethanolamine binding protein 1	enzyme modulator	125	0.525	0.724	0.083685	0.31	no reported evidence	1.0	2	0	2016.0	2016.0
Heart failure	C0018801	AVPR2	554	P30518	arginine vasopressin receptor 2	receptor	78	0.616	0.483	0.48835	0.31	no reported evidence	1.0	2	0	2002.0	2015.0
Heart failure	C0018801	POMC	5443	P01189	proopiomelanocortin		557	0.382	0.862	9.3851e-05	0.31	no reported evidence	1.0	3	0	1987.0	2005.0
Heart failure	C0018801	CYBB	1536	P04839	cytochrome b-245 beta chain	oxidoreductase	187	0.503	0.793	0.99895	0.31	no reported evidence	1.0	2	0	2010.0	2013.0
Heart failure	C0018801	GATM	2628	P50440	glycine amidinotransferase		52	0.672	0.517	0.054324	0.31	no reported evidence	1.0	1	0	2006.0	2006.0
Heart failure	C0018801	ALB	213	P02768	albumin	transfer/carrier protein	402	0.412	0.828	0.60914	0.31	no reported evidence	1.0	2	0	2002.0	2012.0
Heart failure	C0018801	PTGS2	5743	P35354	prostaglandin-endoperoxide synthase 2	oxidoreductase	832	0.338	0.897	0.99639	0.31	no reported evidence	1.0	2	0	2008.0	2010.0
Heart failure	C0018801	NOX4	50507	Q9NPH5	NADPH oxidase 4	oxidoreductase	119	0.533	0.621	5.3366e-19	0.31	no reported evidence	1.0	2	0	2005.0	2010.0
Heart failure	C0018801	PRL	5617	P01236	prolactin	signaling molecule	276	0.454	0.793	1.4767e-06	0.31	no reported evidence	0.0	2	0	2002.0	2009.0
Heart failure	C0018801	CSF3	1440	P09919	colony stimulating factor 3		393	0.421	0.828	0.32663	0.31	no reported evidence	1.0	2	0	2005.0	2009.0
Heart failure	C0018801	IFNG	3458	P01579	interferon gamma		901	0.323	0.897	0.47138	0.31	no reported evidence	1.0	3	0	1986.0	2013.0
Heart failure	C0018801	FBLN5	10516	Q9UBX5	fibulin 5	calcium-binding protein; cell adhesion molecule; extracellular matrix protein; signaling molecule	119	0.57	0.586	0.99959	0.3	no reported evidence		1	0	2003.0	2003.0
Heart failure	C0018801	NRIP1	8204	P48552	nuclear receptor interacting protein 1		41	0.659	0.414	0.99531	0.3	no reported evidence		1	0	2013.0	2013.0
Heart failure	C0018801	CSF2	1437	P04141	colony stimulating factor 2	signaling molecule	670	0.356	0.966	0.84256	0.3	no reported evidence		1	0	2001.0	2001.0
Heart failure	C0018801	ADIPOQ	9370	Q15848	adiponectin, C1Q and collagen domain containing		201	0.485	0.724	5.0074e-09	0.3	no reported evidence		2	0	2009.0	2016.0
Heart failure	C0018801	GCG	2641	P01275	glucagon		152	0.529	0.655	0.025209	0.3	no reported evidence		1	0	1995.0	1995.0
Heart failure	C0018801	GSK3B	2932	P49841	glycogen synthase kinase 3 beta	kinase; transferase	185	0.488	0.793	0.96265	0.3	no reported evidence		1	0	2008.0	2008.0
Heart failure	C0018801	CXCL2	2920	P19875	C-X-C motif chemokine ligand 2	signaling molecule	101	0.555	0.69	4.2169e-07	0.3	no reported evidence		1	0	2012.0	2012.0
Heart failure	C0018801	GPX4	2879	P36969	glutathione peroxidase 4	oxidoreductase	126	0.579	0.655	0.00025046	0.3	no reported evidence		1	0	2010.0	2010.0
Heart failure	C0018801	FASN	2194	P49327	fatty acid synthase	hydrolase; ligase; oxidoreductase; transferase	150	0.516	0.793	1.0	0.3	no reported evidence		1	0	2016.0	2016.0
Heart failure	C0018801	HSPB1	3315	P04792	heat shock protein family B (small) member 1		261	0.468	0.69	1.7685e-06	0.3	no reported evidence		1	0	2007.0	2007.0
Heart failure	C0018801	CS	1431	O75390	citrate synthase	lyase; transferase	44	0.659	0.517	0.98285	0.3	no reported evidence		1	0	1997.0	1997.0
Heart failure	C0018801	ITGB1	3688	P05556	integrin subunit beta 1	cell adhesion molecule; extracellular matrix protein; receptor	127	0.536	0.655	0.99941	0.3	no reported evidence		1	0	2002.0	2002.0
Heart failure	C0018801	UCP1	7350	P25874	uncoupling protein 1		60	0.616	0.552	2.0636e-11	0.3	no reported evidence		1	0	2016.0	2016.0
Heart failure	C0018801	INS	3630	P01308	insulin		309	0.458	0.828	0.32169	0.3	no reported evidence		1	0	2005.0	2005.0
Heart failure	C0018801	CFD	1675	P00746	complement factor D	hydrolase; protease	33	0.672	0.448	5.7434e-05	0.3	no reported evidence		1	0	2016.0	2016.0
Heart failure	C0018801	NOX1	27035	Q9Y5S8	NADPH oxidase 1	oxidoreductase	68	0.607	0.586	9.9376e-08	0.3	no reported evidence		1	0	2010.0	2010.0
Heart failure	C0018801	VWF	7450	P04275	von Willebrand factor	enzyme modulator	260	0.462	0.724	7.8464e-24	0.3	no reported evidence		1	0	2012.0	2012.0
Heart failure	C0018801	RBP4	5950	P02753	retinol binding protein 4	transfer/carrier protein	134	0.534	0.724	0.56477	0.3	no reported evidence		1	0	2016.0	2016.0
Heart failure	C0018801	CIDEA	1149	O60543	cell death-inducing DFFA-like effector a		14	0.752	0.207	3.1562e-05	0.3	no reported evidence		1	0	2016.0	2016.0
Heart failure	C0018801	ELOVL6	79071	Q9H5J4	ELOVL fatty acid elongase 6	transferase	21	0.69	0.345	0.95647	0.3	no reported evidence		1	0	2016.0	2016.0
Heart failure	C0018801	KAT8	84148	Q9H7Z6	lysine acetyltransferase 8	nucleic acid binding; transcription factor; transferase	31	0.672	0.345	0.25846	0.3	no reported evidence		1	0	2016.0	2016.0
Heart failure	C0018801	ACACA	31	Q13085	acetyl-CoA carboxylase alpha		93	0.552	0.759	1.0	0.3	no reported evidence		1	0	2016.0	2016.0
Heart failure	C0018801	ATP2A1	487	O14983	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	hydrolase; transporter	28	0.707	0.276	1.2361e-14	0.3	no reported evidence		1	0	2010.0	2010.0
Heart failure	C0018801	PCK1	5105	P35558	phosphoenolpyruvate carboxykinase 1	lyase	43	0.642	0.414	1.422e-14	0.3	no reported evidence		1	0	2016.0	2016.0
Heart failure	C0018801	ACLY	47	P53396	ATP citrate lyase	ligase; lyase; transferase	36	0.652	0.414	0.048709	0.3	no reported evidence		1	0	2016.0	2016.0
Heart failure	C0018801	SOD1	6647	P00441	superoxide dismutase 1	oxidoreductase	456	0.406	0.931	0.12829	0.3	no reported evidence		1	0	2010.0	2010.0
Heart failure	C0018801	MAP2K7	5609	O14733	mitogen-activated protein kinase kinase 7		231	0.462	0.759	0.99908	0.3	no reported evidence		1	0	2011.0	2011.0
Heart failure	C0018801	PTGS1	5742	P23219	prostaglandin-endoperoxide synthase 1	oxidoreductase	199	0.495	0.828	2.6476e-06	0.3	no reported evidence		1	0	2010.0	2010.0
Heart failure	C0018801	ADRB2	154	P07550	adrenoceptor beta 2	receptor	254	0.479	0.793	0.58042	0.3	no reported evidence	0.909090909090909	14	1	1996.0	2013.0
Heart failure	C0018801	ATP1A3	478	P13637	ATPase Na+/K+ transporting subunit alpha 3		122	0.58	0.379	1.0	0.3	no reported evidence		1	0	2008.0	2008.0
Heart failure	C0018801	PON1	5444	P27169	paraoxonase 1		324	0.443	0.828	8.9806e-11	0.3	no reported evidence		1	0	2016.0	2016.0
Heart failure	C0018801	PDPK1	5170	O15530	3-phosphoinositide dependent protein kinase 1	calcium-binding protein; kinase; transfer/carrier protein; transferase	41	0.639	0.31	0.9709	0.3	no reported evidence		1	0	2009.0	2009.0
Heart failure	C0018801	RYR2	6262	Q92736	ryanodine receptor 2	receptor; transporter	102	0.575	0.414	0.99999	0.3	no reported evidence	1.0	25	1	2002.0	2016.0
Heart failure	C0018801	PLN	5350	P26678	phospholamban		53	0.627	0.379	0.46545	0.3	no reported evidence	0.9032258	33	1	1991.0	2018.0
Heart failure	C0018801	APCS	325	P02743	amyloid P component, serum		88	0.565	0.655	0.030048	0.3	no reported evidence		1	0	2006.0	2006.0
Heart failure	C0018801	APOC1	341	P02654	apolipoprotein C1		64	0.604	0.552	0.20177	0.3	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	OLR1	4973	P78380	oxidized low density lipoprotein receptor 1		74	0.59	0.552	0.0088964	0.3	no reported evidence		1	0	2012.0	2012.0
Heart failure	C0018801	PRKAR2B	5577	P31323	protein kinase cAMP-dependent type II regulatory subunit beta		14	0.762	0.345	0.99923	0.3	no reported evidence		1	0	2016.0	2016.0
Heart failure	C0018801	PLAT	5327	P00750	plasminogen activator, tissue type	hydrolase; protease	267	0.459	0.828	3.4642e-05	0.3	no reported evidence		1	0	2012.0	2012.0
Heart failure	C0018801	SCN5A	6331	Q14524	sodium voltage-gated channel alpha subunit 5	transporter	158	0.527	0.552	0.88219	0.3	no reported evidence	1.0	11	1	2005.0	2018.0
Heart failure	C0018801	PTH	5741	P01270	parathyroid hormone		244	0.457	0.793	0.011614	0.3	no reported evidence		1	0	2007.0	2007.0
Heart failure	C0018801	CSRP3	8048	P50461	cysteine and glycine rich protein 3	cytoskeletal protein	54	0.633	0.517	0.00018494	0.29	no reported evidence	1.0	9	0	1997.0	2015.0
Heart failure	C0018801	ACE2	59272	Q9BYF1	angiotensin I converting enzyme 2	hydrolase; protease	118	0.542	0.655	0.99813	0.29	no reported evidence	0.8888889	9	0	2000.0	2017.0
Heart failure	C0018801	IGF1	3479	P05019	insulin like growth factor 1		715	0.355	0.828	0.28843	0.28	no reported evidence	1.0	9	0	2003.0	2012.0
Heart failure	C0018801	TP53	7157	P04637	tumor protein p53	transcription factor	1773	0.251	0.897	0.16862	0.28	no reported evidence	1.0	9	0	2003.0	2014.0
Heart failure	C0018801	LGALS3	3958	P17931	galectin 3	cell adhesion molecule; signaling molecule	231	0.466	0.759	2.3862e-05	0.26	no reported evidence	1.0	6	0	2005.0	2017.0
Heart failure	C0018801	SLC8A1	6546	P32418	solute carrier family 8 member A1		66	0.609	0.483	0.99605	0.25	no reported evidence	1.0	6	0	2000.0	2015.0
Heart failure	C0018801	MMP9	4318	P14780	matrix metallopeptidase 9	hydrolase; protease	790	0.339	0.862	7.0286e-18	0.25	no reported evidence	1.0	7	0	2001.0	2016.0
Heart failure	C0018801	CASQ2	845	O14958	calsequestrin 2		38	0.667	0.345	1.0895e-12	0.25	no reported evidence	1.0	6	0	2010.0	2016.0
Heart failure	C0018801	ADM	133	P35318	adrenomedullin	signaling molecule	246	0.471	0.724	0.034615	0.24	no reported evidence	0.5	5	0	2002.0	2006.0
Heart failure	C0018801	CCL2	6347	P13500	C-C motif chemokine ligand 2	signaling molecule	691	0.353	0.897	0.61778	0.23	no reported evidence	1.0	4	0	2003.0	2012.0
Heart failure	C0018801	NOS1	4842	P29475	nitric oxide synthase 1		305	0.445	0.793	1.0	0.23	no reported evidence	0.6666667	5	0	1998.0	2013.0
Heart failure	C0018801	IL10	3586	P22301	interleukin 10		961	0.32	0.931	0.0065063	0.23	no reported evidence	1.0	5	0	1996.0	2014.0
Heart failure	C0018801	ERBB2	2064	P04626	erb-b2 receptor tyrosine kinase 2		650	0.352	0.862	0.0018012	0.23	no reported evidence	0.666666666666667	4	0	1999.0	2007.0
Heart failure	C0018801	MMP1	4312	P03956	matrix metallopeptidase 1	hydrolase; protease	388	0.415	0.793	6.2409e-18	0.22	no reported evidence	1.0	3	0	2004.0	2013.0
Heart failure	C0018801	ECE1	1889	P42892	endothelin converting enzyme 1	hydrolase; protease	102	0.58	0.483	0.95596	0.22	no reported evidence	0.5	4	0	1998.0	2009.0
Heart failure	C0018801	NCAM1	4684	P13591	neural cell adhesion molecule 1		287	0.445	0.759	0.99999	0.22	no reported evidence	1.0	3	0	2010.0	2014.0
Heart failure	C0018801	HP	3240	P00738	haptoglobin	hydrolase; protease	228	0.461	0.793	7.4325e-05	0.22	no reported evidence	1.0	3	0	2005.0	2015.0
Heart failure	C0018801	POSTN	10631	Q15063	periostin	cell adhesion molecule; signaling molecule	63	0.598	0.724	3.6193e-09	0.22	no reported evidence	1.0	3	0	2005.0	2015.0
Heart failure	C0018801	AGTR2	186	P50052	angiotensin II receptor type 2	receptor	110	0.554	0.621	0.0081935	0.22	no reported evidence	0.0	4	0	2002.0	2012.0
Heart failure	C0018801	DDR1	780	Q08345	discoidin domain receptor tyrosine kinase 1		118	0.533	0.69	5.1755e-06	0.21	no reported evidence	1.0	2	0	2002.0	2006.0
Heart failure	C0018801	NPY	4852	P01303	neuropeptide Y	signaling molecule	243	0.469	0.69	0.15508	0.21	no reported evidence	1.0	2	0	2003.0	2008.0
Heart failure	C0018801	CORIN	10699	Q9Y5Q5	corin, serine peptidase		19	0.773	0.207	9.0905e-33	0.21	no reported evidence	1.0	3	0	2004.0	2013.0
Heart failure	C0018801	SRI	6717	P30626	sorcin		32	0.667	0.345	2.9621e-10	0.21	no reported evidence	1.0	3	0	2003.0	2012.0
Heart failure	C0018801	KCNE1	3753	P15382	potassium voltage-gated channel subfamily E regulatory subunit 1		47	0.642	0.31	0.0037418	0.21	no reported evidence	1.0	2	2	2006.0	2010.0
Heart failure	C0018801	ARRB1	408	P49407	arrestin beta 1	enzyme modulator	52	0.616	0.552	0.99368	0.21	no reported evidence	1.0	2	0	1994.0	2011.0
Heart failure	C0018801	SCD	6319	O00767	stearoyl-CoA desaturase		131	0.538	0.586	0.9581	0.21	no reported evidence	1.0	2	0	2016.0	2016.0
Heart failure	C0018801	UCP3	7352	P55916	uncoupling protein 3		43	0.652	0.414	1.0316e-09	0.21	no reported evidence	1.0	2	0	2002.0	2011.0
Heart failure	C0018801	ALOX15	246	P16050	arachidonate 15-lipoxygenase	oxidoreductase	115	0.543	0.69	3.9512e-24	0.21	no reported evidence	1.0	2	0	2006.0	2009.0
Heart failure	C0018801	HTR2A	3356	P28223	5-hydroxytryptamine receptor 2A	receptor	211	0.488	0.759	0.47959	0.21	no reported evidence	1.0	2	0	2005.0	2008.0
Heart failure	C0018801	GNAQ	2776	P50148	G protein subunit alpha q	enzyme modulator	87	0.586	0.483	0.99639	0.21	no reported evidence	1.0	1	0	2007.0	2007.0
Heart failure	C0018801	HMGB1	3146	P09429	high mobility group box 1	nucleic acid binding; signaling molecule; transcription factor	322	0.433	0.828	0.83018	0.21	no reported evidence	1.0	2	0	2013.0	2014.0
Heart failure	C0018801	CALR	811	P27797	calreticulin	calcium-binding protein	196	0.492	0.793	0.89633	0.21	no reported evidence	1.0	1	0	2014.0	2014.0
Heart failure	C0018801	BNIP3	664	Q12983	BCL2 interacting protein 3		84	0.569	0.621	2.0562e-05	0.21	no reported evidence	1.0	2	0	2009.0	2013.0
Heart failure	C0018801	TIMP1	7076	P01033	TIMP metallopeptidase inhibitor 1	enzyme modulator	353	0.418	0.759	0.48258	0.21	no reported evidence	1.0	2	0	2000.0	2004.0
Heart failure	C0018801	NR3C1	2908	P04150	nuclear receptor subfamily 3 group C member 1	nucleic acid binding; receptor; transcription factor	349	0.427	0.793	0.97882	0.21	no reported evidence	1.0	2	0	2010.0	2011.0
Heart failure	C0018801	PARP1	142	P09874	poly(ADP-ribose) polymerase 1		312	0.432	0.862	0.00055174	0.21	no reported evidence	1.0	2	0	2005.0	2009.0
Heart failure	C0018801	APLN	8862	Q9ULZ1	apelin		17	0.762	0.241	0.46318	0.21	no reported evidence		3	0	2003.0	2007.0
Heart failure	C0018801	CX3CR1	1524	P49238	C-X3-C motif chemokine receptor 1		185	0.496	0.828	0.056757	0.21	no reported evidence	1.0	2	0	2008.0	2014.0
Heart failure	C0018801	NOS1AP	9722	O75052	nitric oxide synthase 1 adaptor protein	signaling molecule	41	0.652	0.345	0.6235	0.2	no reported evidence		1	0	2012.0	2012.0
Heart failure	C0018801	GRK1	6011	Q15835	G protein-coupled receptor kinase 1	kinase; transferase	22	0.707	0.31	3.4044e-05	0.2	no reported evidence		1	0	2002.0	2002.0
Heart failure	C0018801	ENG	2022	P17813	endoglin		249	0.477	0.655	0.99877	0.2	no reported evidence		1	0	2010.0	2010.0
Heart failure	C0018801	ENDOG	2021	Q14249	endonuclease G		33	0.663	0.414	0.0001828	0.2	no reported evidence		1	0	2007.0	2007.0
Heart failure	C0018801	FTH1	2495	P02794	ferritin heavy chain 1	storage protein	50	0.627	0.517	0.16058	0.2	no reported evidence		1	0	2009.0	2009.0
Heart failure	C0018801	DYNLL1	8655	P63167	dynein light chain LC8-type 1	cytoskeletal protein; enzyme modulator	50	0.63	0.586	0.70691	0.2	no reported evidence		1	0	2013.0	2013.0
Heart failure	C0018801	SIRT3	23410	Q9NTG7	sirtuin 3	hydrolase; nucleic acid binding	73	0.598	0.586	0.00017098	0.2	no reported evidence		1	0	2012.0	2012.0
Heart failure	C0018801	TOMM70	9868	O94826	translocase of outer mitochondrial membrane 70		4	0.857	0.207		0.2	no reported evidence		1	0	2014.0	2014.0
Heart failure	C0018801	BECN1	8678	Q14457	beclin 1	enzyme modulator	164	0.497	0.759	0.91207	0.2	no reported evidence		1	0	2009.0	2009.0
Heart failure	C0018801	ALOX12	239	P18054	arachidonate 12-lipoxygenase, 12S type	oxidoreductase	76	0.596	0.621	6.6067e-16	0.2	no reported evidence		1	0	2005.0	2005.0
Heart failure	C0018801	FOS	2353	P01100	Fos proto-oncogene, AP-1 transcription factor subunit	transcription factor	350	0.436	0.862	0.23302	0.2	no reported evidence		1	0	2005.0	2005.0
Heart failure	C0018801	FOSL1	8061	P15407	FOS like 1, AP-1 transcription factor subunit	transcription factor	99	0.548	0.724	0.17418	0.2	no reported evidence		1	0	2005.0	2005.0
Heart failure	C0018801	PRKCA	5578	P17252	protein kinase C alpha	calcium-binding protein; kinase; transfer/carrier protein; transferase	125	0.535	0.655	0.33866	0.2	no reported evidence		1	0	2007.0	2007.0
Heart failure	C0018801	FKBP1B	2281	P68106	FK506 binding protein 1B	calcium-binding protein; chaperone; isomerase	9	0.834	0.069	0.39557	0.2	no reported evidence		1	0	2007.0	2007.0
Heart failure	C0018801	PRKCB	5579	P05771	protein kinase C beta	calcium-binding protein; kinase; transfer/carrier protein; transferase	88	0.564	0.69	1.0	0.2	no reported evidence		1	0	2002.0	2002.0
Heart failure	C0018801	CASP12	100506742	Q6UXS9	caspase 12 (gene/pseudogene)	enzyme modulator; hydrolase; protease	38	0.633	0.69	0.00038679	0.2	no reported evidence		1	0	2008.0	2008.0
